mun,uf,regiao,porc_bf,dilma.vs.2014,pop.2011
ALTA FLORESTA D OESTE,RO,Norte,29.1059,42.8989,24228
ARIQUEMES,RO,Norte,20.7539,36.7635,91570
CABIXI,RO,Norte,19.6962,45.0126,6221
CACOAL,RO,Norte,16.9523,31.7056,78959
CEREJEIRAS,RO,Norte,17.2962,30.3351,16939
COLORADO DO OESTE,RO,Norte,14.3816,42.4548,18338
CORUMBIARA,RO,Norte,30.8796,48.9165,8655
COSTA MARQUES,RO,Norte,44.6158,59.6727,14023
ESPIGAO D OESTE,RO,Norte,23.3675,38.7877,28963
GUAJARA MIRIM,RO,Norte,39.8914,42.7001,41934
JARU,RO,Norte,24.7894,34.0053,51883
JI PARANA,RO,Norte,14.2492,38.9346,117363
MACHADINHO D OESTE,RO,Norte,30.8936,48.6015,31780
NOVA BRASILANDIA D OESTE,RO,Norte,44.9797,40.1556,19883
OURO PRETO DO OESTE,RO,Norte,14.7528,39.7876,37702
PIMENTA BUENO,RO,Norte,17.6248,34.7999,33981
PORTO VELHO,RO,Norte,22.5452,41.5679,435732
PRESIDENTE MEDICI,RO,Norte,34.6390,46.3727,22009
RIO CRESPO,RO,Norte,39.3180,46.5226,3346
ROLIM DE MOURA,RO,Norte,19.2527,43.8076,50899
SANTA LUZIA D OESTE,RO,Norte,23.3430,49.1387,8678
VILHENA,RO,Norte,18.0890,33.1936,77937
SAO MIGUEL DO GUAPORE,RO,Norte,30.4334,45.3774,21879
NOVA MAMORE,RO,Norte,51.0899,50.4115,23143
ALVORADA D OESTE,RO,Norte,42.9455,51.8852,16625
ALTO ALEGRE DOS PARECIS,RO,Norte,34.4156,48.0601,12825
ALTO PARAISO,RO,Norte,38.6709,49.8714,17444
BURITIS,RO,Norte,34.1389,42.5102,32899
NOVO HORIZONTE DO OESTE,RO,Norte,33.7244,55.1749,10084
CACAULANDIA,RO,Norte,24.9409,42.7063,5764
CAMPO NOVO DE RONDONIA,RO,Norte,37.2285,51.4334,12758
CANDEIAS DO JAMARI,RO,Norte,33.8083,56.9660,20292
CASTANHEIRAS,RO,Norte,31.0469,59.5238,3527
CHUPINGUAIA,RO,Norte,33.7740,43.2119,8515
CUJUBIM,RO,Norte,36.7022,43.7719,16570
GOVERNADOR JORGE TEIXEIRA,RO,Norte,48.3206,46.6465,10272
ITAPUA DO OESTE,RO,Norte,42.3214,56.9715,8700
MINISTRO ANDREAZZA,RO,Norte,29.4359,47.0851,10277
MIRANTE DA SERRA,RO,Norte,35.6472,47.6776,11781
MONTE NEGRO,RO,Norte,35.0135,44.3519,14204
NOVA UNIAO,RO,Norte,23.9524,51.4053,7437
PARECIS,RO,Norte,44.8524,56.1983,4902
PIMENTEIRAS DO OESTE,RO,Norte,30.0000,40.5347,2299
PRIMAVERA DE RONDONIA,RO,Norte,18.3503,45.7045,3464
SAO FELIPE D OESTE,RO,Norte,31.4365,35.9362,5939
SAO FRANCISCO DO GUAPORE,RO,Norte,40.2919,53.7070,16341
SERINGUEIRAS,RO,Norte,42.6273,49.9695,11624
TEIXEIROPOLIS,RO,Norte,31.8644,47.9022,4832
THEOBROMA,RO,Norte,33.4420,42.7392,10612
URUPA,RO,Norte,39.0561,50.3852,12828
VALE DO ANARI,RO,Norte,32.3949,45.5387,9511
VALE DO PARAISO,RO,Norte,32.2368,46.8769,8084
ACRELANDIA,AC,Norte,52.5007,35.0076,12779
ASSIS BRASIL,AC,Norte,59.5841,47.5006,6192
BRASILEIA,AC,Norte,55.0927,36.0175,21837
BUJARI,AC,Norte,51.2876,29.3810,8629
CAPIXABA,AC,Norte,53.1662,24.8154,9088
CRUZEIRO DO SUL,AC,Norte,51.1813,33.6630,79174
EPITACIOLANDIA,AC,Norte,37.0303,26.3077,15394
FEIJO,AC,Norte,67.6709,54.5364,32487
JORDAO,AC,Norte,85.3415,43.9321,6740
MANCIO LIMA,AC,Norte,69.1021,53.0373,15554
MANOEL URBANO,AC,Norte,69.7524,40.9058,8105
MARECHAL THAUMATURGO,AC,Norte,86.6909,47.1934,14683
PLACIDO DE CASTRO,AC,Norte,37.5158,24.7680,17401
PORTO WALTER,AC,Norte,75.4407,55.0142,9448
RIO BRANCO,AC,Norte,25.2961,18.0754,342299
RODRIGUES ALVES,AC,Norte,69.3389,48.1656,14832
SANTA ROSA DO PURUS,AC,Norte,77.9412,34.7136,4879
SENADOR GUIOMARD,AC,Norte,43.5961,22.0577,20387
SENA MADUREIRA,AC,Norte,56.8345,27.0170,38709
TARAUACA,AC,Norte,69.7144,54.4691,36186
XAPURI,AC,Norte,42.2494,44.6186,16370
PORTO ACRE,AC,Norte,60.8209,35.8566,15213
ALVARAES,AM,Norte,88.1902,81.0906,14237
AMATURA,AM,Norte,85.1695,75.8825,9633
ANAMA,AM,Norte,73.8184,74.3617,10495
ANORI,AM,Norte,61.5033,64.2536,16701
APUI,AM,Norte,41.6848,63.7645,18326
ATALAIA DO NORTE,AM,Norte,79.6534,57.6218,15545
AUTAZES,AM,Norte,77.7698,77.0651,32733
BARCELOS,AM,Norte,63.5607,51.9132,25835
BARREIRINHA,AM,Norte,78.2228,83.9433,27722
BENJAMIN CONSTANT,AM,Norte,78.9916,84.7553,34194
BERURI,AM,Norte,82.8136,85.8575,15828
BOA VISTA DO RAMOS,AM,Norte,82.5785,82.3919,15325
BOCA DO ACRE,AM,Norte,65.5158,65.4991,30906
BORBA,AM,Norte,56.6531,77.7993,35448
CAAPIRANGA,AM,Norte,71.1651,82.1429,11142
CANUTAMA,AM,Norte,67.8511,77.2384,13843
CARAUARI,AM,Norte,79.5229,79.8899,25955
CAREIRO,AM,Norte,66.8473,76.3017,33132
CAREIRO DA VARZEA,AM,Norte,58.2494,74.8564,24442
COARI,AM,Norte,66.4313,62.3958,76646
CODAJAS,AM,Norte,63.7093,73.9187,23644
EIRUNEPE,AM,Norte,75.7275,75.5644,31020
ENVIRA,AM,Norte,88.0462,85.2543,16635
FONTE BOA,AM,Norte,83.4872,86.1545,23011
GUAJARA,AM,Norte,88.2152,70.6862,14189
HUMAITA,AM,Norte,60.4275,71.3601,45105
IPIXUNA,AM,Norte,79.7904,83.5842,22867
IRANDUBA,AM,Norte,64.2748,70.7536,41374
ITACOATIARA,AM,Norte,50.0429,69.8429,87970
ITAMARATI,AM,Norte,97.0701,64.7562,8010
ITAPIRANGA,AM,Norte,75.0708,71.2840,8281
JAPURA,AM,Norte,67.9842,68.9376,7388
JURUA,AM,Norte,69.4567,64.7224,11126
JUTAI,AM,Norte,87.8041,86.7933,18145
LABREA,AM,Norte,76.4641,78.5566,38373
MANACAPURU,AM,Norte,59.2898,65.4726,86078
MANAQUIRI,AM,Norte,68.5010,81.9751,23576
MANAUS,AM,Norte,28.0412,41.1660,1832424
MANICORE,AM,Norte,56.7834,74.5270,47707
MARAA,AM,Norte,97.5295,86.7576,17563
MAUES,AM,Norte,81.5374,80.4531,53173
NHAMUNDA,AM,Norte,86.5751,78.8080,18503
NOVA OLINDA DO NORTE,AM,Norte,65.5835,79.0968,31232
NOVO AIRAO,AM,Norte,65.5457,65.8413,15113
NOVO ARIPUANA,AM,Norte,64.2773,79.9164,21784
PARINTINS,AM,Norte,61.7000,70.3078,102946
PAUINI,AM,Norte,88.5864,70.3523,18249
PRESIDENTE FIGUEIREDO,AM,Norte,48.0487,68.9549,27926
RIO PRETO DA EVA,AM,Norte,50.4759,65.0910,26344
SANTA ISABEL DO RIO NEGRO,AM,Norte,90.8289,67.9339,18729
SANTO ANTONIO DO ICA,AM,Norte,99.0230,76.7313,24689
SAO GABRIEL DA CACHOEIRA,AM,Norte,74.3792,79.5686,38507
SAO PAULO DE OLIVENCA,AM,Norte,67.3044,79.7198,32060
SAO SEBASTIAO DO UATUMA,AM,Norte,70.9512,71.1464,10978
SILVES,AM,Norte,72.0622,84.0677,8495
TABATINGA,AM,Norte,69.8622,70.3865,53374
TAPAUA,AM,Norte,71.6230,73.8851,18010
TEFE,AM,Norte,57.7230,72.1482,61223
TONANTINS,AM,Norte,87.3345,80.9398,17200
UARINI,AM,Norte,75.3650,80.9726,12017
URUCARA,AM,Norte,73.3138,82.0241,16996
URUCURITUBA,AM,Norte,77.8452,82.2531,18265
AMAJARI,RR,Norte,56.4042,41.0046,9637
ALTO ALEGRE,RR,Norte,55.8919,46.1101,16337
BOA VISTA,RR,Norte,30.7685,25.1593,290741
BONFIM,RR,Norte,70.7220,43.0148,11068
CANTA,RR,Norte,59.1084,42.8520,14312
CARACARAI,RR,Norte,63.5708,47.7469,18714
CAROEBE,RR,Norte,56.7981,46.3644,8300
IRACEMA,RR,Norte,68.4705,55.6191,8997
MUCAJAI,RR,Norte,64.6543,47.3618,15065
NORMANDIA,RR,Norte,67.6851,59.8317,9156
PACARAIMA,RR,Norte,63.7275,33.9307,10698
RORAINOPOLIS,RR,Norte,60.2696,51.7210,24808
SAO JOAO DA BALIZA,RR,Norte,55.4787,51.4088,6898
SAO LUIZ,RR,Norte,54.4406,52.6982,6861
UIRAMUTA,RR,Norte,83.6565,61.4506,8573
ABAETETUBA,PA,Norte,67.4774,71.3390,142785
ABEL FIGUEIREDO,PA,Norte,56.6381,66.1269,6844
ACARA,PA,Norte,83.7644,70.2936,53680
AFUA,PA,Norte,75.6737,62.8329,35467
AGUA AZUL DO NORTE,PA,Norte,61.1666,48.6305,25286
ALENQUER,PA,Norte,72.8895,52.3562,53004
ALMEIRIM,PA,Norte,55.7237,70.1651,33588
ALTAMIRA,PA,Norte,34.1242,49.8402,100736
ANAJAS,PA,Norte,87.7395,53.5489,25254
ANANINDEUA,PA,Norte,29.8108,42.2730,477999
ANAPU,PA,Norte,67.9606,52.3225,21398
AUGUSTO CORREA,PA,Norte,87.9305,64.8654,41072
AURORA DO PARA,PA,Norte,62.9560,71.7045,27070
AVEIRO,PA,Norte,75.9313,73.3333,15875
BAGRE,PA,Norte,79.3048,82.5431,24644
BAIAO,PA,Norte,60.8343,63.6776,38092
BANNACH,PA,Norte,39.9390,41.8926,3405
BARCARENA,PA,Norte,50.5756,67.9331,102668
BELEM,PA,Norte,27.5403,36.5745,1402056
BELTERRA,PA,Norte,73.4387,48.5209,16451
BENEVIDES,PA,Norte,45.8324,52.8338,52888
BOM JESUS DO TOCANTINS,PA,Norte,55.4574,56.2939,15467
BONITO,PA,Norte,60.9874,65.5994,13923
BRAGANCA,PA,Norte,58.4128,57.5152,114720
BRASIL NOVO,PA,Norte,47.2260,46.7902,15575
BREJO GRANDE DO ARAGUAIA,PA,Norte,67.1197,70.2357,7306
BREU BRANCO,PA,Norte,57.5249,65.7617,54032
BREVES,PA,Norte,81.2286,64.0176,93835
BUJARU,PA,Norte,85.6533,66.5815,26053
CACHOEIRA DO PIRIA,PA,Norte,63.5751,76.1077,27332
CACHOEIRA DO ARARI,PA,Norte,79.2374,80.0230,20801
CAMETA,PA,Norte,80.0872,68.3523,122683
CANAA DOS CARAJAS,PA,Norte,40.8884,47.7685,27929
CAPANEMA,PA,Norte,45.4454,57.2787,64140
CAPITAO POCO,PA,Norte,62.2462,59.8358,52057
CASTANHAL,PA,Norte,43.3303,42.4930,176116
CHAVES,PA,Norte,74.0483,69.8645,21286
COLARES,PA,Norte,53.6060,70.5704,11439
CONCEICAO DO ARAGUAIA,PA,Norte,38.6680,44.0842,45724
CONCORDIA DO PARA,PA,Norte,70.4835,60.2239,28774
CUMARU DO NORTE,PA,Norte,52.4242,51.5901,10811
CURIONOPOLIS,PA,Norte,58.8179,46.4890,18197
CURRALINHO,PA,Norte,84.4614,79.1866,29204
CURUA,PA,Norte,80.8535,71.6669,12487
CURUCA,PA,Norte,77.6785,75.9338,34919
DOM ELISEU,PA,Norte,31.6899,64.8400,52224
ELDORADO DOS CARAJAS,PA,Norte,51.2477,57.4833,31954
FARO,PA,Norte,80.1754,77.8919,8035
FLORESTA DO ARAGUAIA,PA,Norte,55.4431,59.0731,18036
GARRAFAO DO NORTE,PA,Norte,78.1417,69.6501,25097
GOIANESIA DO PARA,PA,Norte,52.0791,63.0048,31031
GURUPA,PA,Norte,78.5132,65.8547,29520
IGARAPE ACU,PA,Norte,71.7921,62.9245,36155
IGARAPE MIRI,PA,Norte,79.7684,71.8838,58498
INHANGAPI,PA,Norte,66.8402,49.3271,10218
IPIXUNA DO PARA,PA,Norte,40.6343,64.5843,53318
IRITUIA,PA,Norte,75.1569,69.3948,31429
ITAITUBA,PA,Norte,51.1641,56.9874,97704
ITUPIRANGA,PA,Norte,55.0764,69.9351,51341
JACAREACANGA,PA,Norte,89.9171,35.8423,14223
JACUNDA,PA,Norte,55.2322,55.5575,52191
JURUTI,PA,Norte,59.9311,61.6955,48306
LIMOEIRO DO AJURU,PA,Norte,90.2005,72.1431,25440
MAE DO RIO,PA,Norte,63.3569,55.1012,28100
MAGALHAES BARATA,PA,Norte,61.0272,68.0379,8148
MARABA,PA,Norte,31.4223,55.1291,238708
MARACANA,PA,Norte,75.2504,61.6400,28438
MARAPANIM,PA,Norte,63.4532,65.6188,26750
MARITUBA,PA,Norte,46.7851,54.9006,110842
MEDICILANDIA,PA,Norte,48.9385,35.1946,27785
MELGACO,PA,Norte,88.6886,59.8916,25096
MOCAJUBA,PA,Norte,79.2601,72.1847,27207
MOJU,PA,Norte,71.0387,70.3020,71329
MONTE ALEGRE,PA,Norte,74.3388,52.6007,55636
MUANA,PA,Norte,81.8867,80.3485,34875
NOVA ESPERANCA DO PIRIA,PA,Norte,89.4523,66.1498,20256
NOVA IPIXUNA,PA,Norte,50.1588,48.9498,14859
NOVA TIMBOTEUA,PA,Norte,60.5978,65.5959,13844
NOVO PROGRESSO,PA,Norte,26.7081,36.7927,25138
NOVO REPARTIMENTO,PA,Norte,48.5897,60.9689,63604
OBIDOS,PA,Norte,59.3389,70.1782,49552
OEIRAS DO PARA,PA,Norte,89.1205,78.9890,29005
ORIXIMINA,PA,Norte,57.9829,53.3977,63905
OUREM,PA,Norte,75.3285,64.3599,16458
OURILANDIA DO NORTE,PA,Norte,47.2383,51.4051,27965
PACAJA,PA,Norte,65.0035,65.0022,40831
PALESTINA DO PARA,PA,Norte,68.8069,58.8087,7470
PARAGOMINAS,PA,Norte,44.7030,48.6046,99460
PARAUAPEBAS,PA,Norte,20.1587,47.7200,160229
PAU D ARCO,PA,Norte,62.7582,57.2170,5950
PEIXE BOI,PA,Norte,65.5048,65.3105,7862
PICARRA,PA,Norte,53.0186,63.1085,12699
PLACAS,PA,Norte,47.7534,55.7794,24744
PONTA DE PEDRAS,PA,Norte,74.5024,71.1601,26560
PORTEL,PA,Norte,81.5740,66.5497,53257
PORTO DE MOZ,PA,Norte,81.3861,75.4592,34756
PRAINHA,PA,Norte,92.6504,66.3552,29337
PRIMAVERA,PA,Norte,57.2617,61.0134,10311
QUATIPURU,PA,Norte,64.7136,62.7032,12527
REDENCAO,PA,Norte,30.5920,41.8495,76501
RIO MARIA,PA,Norte,29.9903,45.3547,17713
RONDON DO PARA,PA,Norte,34.1125,61.3974,47509
RUROPOLIS,PA,Norte,40.8555,61.6765,41272
SALINOPOLIS,PA,Norte,48.8764,60.6541,37726
SALVATERRA,PA,Norte,66.1538,71.1232,20572
SANTA BARBARA DO PARA,PA,Norte,53.9910,61.5621,17584
SANTA CRUZ DO ARARI,PA,Norte,91.6722,70.9988,8378
SANTA ISABEL DO PARA,PA,Norte,48.3509,54.7627,60713
SANTA LUZIA DO PARA,PA,Norte,78.3638,62.4028,19426
SANTA MARIA DAS BARREIRAS,PA,Norte,58.2377,51.6846,17686
SANTA MARIA DO PARA,PA,Norte,60.4006,55.9790,23194
SANTANA DO ARAGUAIA,PA,Norte,24.5156,45.7189,58067
SANTAREM,PA,Norte,42.7494,37.5680,297040
SANTAREM NOVO,PA,Norte,82.9347,76.7580,6196
SANTO ANTONIO DO TAUA,PA,Norte,62.9842,66.8965,27199
SAO CAETANO DE ODIVELAS,PA,Norte,71.1253,65.0315,16991
SAO DOMINGOS DO ARAGUAIA,PA,Norte,53.9564,61.3283,23370
SAO DOMINGOS DO CAPIM,PA,Norte,75.9681,62.4171,30034
SAO FELIX DO XINGU,PA,Norte,30.0488,45.9372,95694
SAO FRANCISCO DO PARA,PA,Norte,61.4485,55.8151,15123
SAO GERALDO DO ARAGUAIA,PA,Norte,54.8411,52.9712,25429
SAO JOAO DA PONTA,PA,Norte,74.5926,65.3810,5360
SAO JOAO DE PIRABAS,PA,Norte,70.6722,67.9758,20890
SAO JOAO DO ARAGUAIA,PA,Norte,71.7138,68.8390,13225
SAO MIGUEL DO GUAMA,PA,Norte,61.7752,58.3270,52350
SAO SEBASTIAO DA BOA VISTA,PA,Norte,83.3884,73.3167,23307
SAPUCAIA,PA,Norte,43.1219,49.6820,5144
SENADOR JOSE PORFIRIO,PA,Norte,73.0792,67.4543,12840
SOURE,PA,Norte,62.8747,73.8764,23235
TAILANDIA,PA,Norte,62.4856,58.7740,82434
TERRA ALTA,PA,Norte,75.2987,67.2742,10416
TERRA SANTA,PA,Norte,66.2980,60.9464,17130
TOME ACU,PA,Norte,61.4670,58.0826,57228
TRACUATEUA,PA,Norte,75.7174,72.9249,27817
TRAIRAO,PA,Norte,48.6963,52.2379,17093
TUCUMA,PA,Norte,29.6296,47.9335,34334
TUCURUI,PA,Norte,39.8505,57.9591,98919
ULIANOPOLIS,PA,Norte,43.9528,60.5833,45190
URUARA,PA,Norte,52.6662,44.9199,44758
VIGIA,PA,Norte,59.6847,67.1941,48482
VISEU,PA,Norte,79.2280,84.1999,57148
VITORIA DO XINGU,PA,Norte,39.1129,50.6391,13607
XINGUARA,PA,Norte,33.9308,40.4285,40984
SERRA DO NAVIO,AP,Norte,32.1990,58.0038,4464
AMAPA,AP,Norte,61.5816,67.2124,8142
PEDRA BRANCA DO AMAPARI,AP,Norte,38.4738,64.7220,11292
CALCOENE,AP,Norte,59.1719,61.2680,9175
CUTIAS,AP,Norte,69.8643,68.3009,4805
FERREIRA GOMES,AP,Norte,56.3910,55.7750,5974
ITAUBAL,AP,Norte,82.4895,65.9291,4371
LARANJAL DO JARI,AP,Norte,53.0722,61.2466,40820
MACAPA,AP,Norte,24.2307,45.6004,407023
MAZAGAO,AP,Norte,65.1596,72.4166,17420
OIAPOQUE,AP,Norte,44.0879,54.8857,21095
PORTO GRANDE,AP,Norte,44.7975,67.6832,17252
PRACUUBA,AP,Norte,61.9226,68.8839,3909
SANTANA,AP,Norte,48.9277,49.7413,102861
TARTARUGALZINHO,AP,Norte,62.3580,69.1928,12981
VITORIA DO JARI,AP,Norte,67.1024,77.0041,12725
ABREULANDIA,TO,Norte,41.7105,61.0497,2407
AGUIARNOPOLIS,TO,Norte,48.6384,58.8146,5317
ALIANCA DO TOCANTINS,TO,Norte,40.3132,56.7364,5633
ALMAS,TO,Norte,57.7682,55.8185,7518
ALVORADA,TO,Norte,28.3063,47.5623,8364
ANANAS,TO,Norte,48.1818,60.9256,9816
ANGICO,TO,Norte,47.7435,50.9858,3197
APARECIDA DO RIO NEGRO,TO,Norte,47.8400,53.1339,4267
ARAGOMINAS,TO,Norte,48.5512,68.1235,5860
ARAGUACEMA,TO,Norte,41.3567,70.5552,6387
ARAGUACU,TO,Norte,18.5451,38.8528,8744
ARAGUAINA,TO,Norte,27.7823,44.0020,153351
ARAGUANA,TO,Norte,54.4867,66.7404,5095
ARAGUATINS,TO,Norte,47.6891,53.6308,31738
ARAPOEMA,TO,Norte,36.3822,63.0924,6721
ARRAIAS,TO,Norte,54.1311,68.8826,10619
AUGUSTINOPOLIS,TO,Norte,45.9591,62.6156,16180
AURORA DO TOCANTINS,TO,Norte,44.8869,59.9898,3473
AXIXA DO TOCANTINS,TO,Norte,63.6623,59.7855,9310
BABACULANDIA,TO,Norte,47.1078,68.3585,10432
BANDEIRANTES DO TOCANTINS,TO,Norte,41.9672,46.4070,3162
BARRA DO OURO,TO,Norte,58.4813,67.2719,4165
BARROLANDIA,TO,Norte,50.5089,61.1511,5370
BERNARDO SAYAO,TO,Norte,38.9881,43.2630,4449
BOM JESUS DO TOCANTINS,TO,Norte,46.8571,58.1130,3879
BRASILANDIA DO TOCANTINS,TO,Norte,36.0656,53.6748,2075
BREJINHO DE NAZARE,TO,Norte,45.5204,45.9355,5209
BURITI DO TOCANTINS,TO,Norte,47.7213,63.3183,9916
CACHOEIRINHA,TO,Norte,58.3929,67.5898,2158
CAMPOS LINDOS,TO,Norte,58.0234,71.0609,8331
CARIRI DO TOCANTINS,TO,Norte,37.1508,56.0401,3815
CARMOLANDIA,TO,Norte,44.8795,50.1316,2340
CARRASCO BONITO,TO,Norte,66.7377,77.8782,3725
CASEARA,TO,Norte,51.6033,60.7724,4674
CENTENARIO,TO,Norte,44.7293,60.2740,2597
CHAPADA DE AREIA,TO,Norte,36.3436,47.6529,1340
CHAPADA DA NATIVIDADE,TO,Norte,41.7476,65.3675,3278
COLINAS DO TOCANTINS,TO,Norte,28.3151,42.4775,31263
COMBINADO,TO,Norte,43.7717,39.5775,4681
CONCEICAO DO TOCANTINS,TO,Norte,50.6908,65.1701,4168
COUTO MAGALHAES,TO,Norte,59.6763,63.6227,5061
CRISTALANDIA,TO,Norte,35.0552,50.6018,7228
CRIXAS DO TOCANTINS,TO,Norte,31.2245,51.4202,1578
DARCINOPOLIS,TO,Norte,47.9461,61.0834,5350
DIANOPOLIS,TO,Norte,38.5138,51.8158,19395
DIVINOPOLIS DO TOCANTINS,TO,Norte,50.1543,61.7996,6409
DOIS IRMAOS DO TOCANTINS,TO,Norte,57.3626,60.8437,7153
DUERE,TO,Norte,34.3015,56.6993,4595
ESPERANTINA,TO,Norte,63.5435,68.6071,9619
FATIMA,TO,Norte,34.9736,43.5311,3802
FIGUEIROPOLIS,TO,Norte,34.8904,53.2342,5323
FILADELFIA,TO,Norte,52.1911,64.2888,8528
FORMOSO DO ARAGUAIA,TO,Norte,34.4602,47.8744,18398
FORTALEZA DO TABOCAO,TO,Norte,45.4942,37.1174,2433
GOIANORTE,TO,Norte,59.8952,61.7418,4965
GOIATINS,TO,Norte,63.4114,67.1071,12143
GUARAI,TO,Norte,23.7317,44.0966,23445
GURUPI,TO,Norte,20.5017,41.3033,77655
IPUEIRAS,TO,Norte,50.5792,54.3635,1676
ITACAJA,TO,Norte,57.6064,54.2434,7127
ITAGUATINS,TO,Norte,61.1111,69.3647,6002
ITAPIRATINS,TO,Norte,52.8855,64.7031,3552
ITAPORA DO TOCANTINS,TO,Norte,42.6273,61.8158,2440
JAU DO TOCANTINS,TO,Norte,33.3918,60.5422,3537
JUARINA,TO,Norte,41.7404,53.7134,2224
LAGOA DA CONFUSAO,TO,Norte,33.1820,53.4670,10521
LAGOA DO TOCANTINS,TO,Norte,59.7330,70.6436,3602
LAJEADO,TO,Norte,37.3283,39.6498,2806
LAVANDEIRA,TO,Norte,36.1224,58.4378,1636
LIZARDA,TO,Norte,51.2821,78.9788,3721
LUZINOPOLIS,TO,Norte,39.2022,58.7905,2669
MARIANOPOLIS DO TOCANTINS,TO,Norte,45.1083,64.4798,4431
MATEIROS,TO,Norte,41.1871,57.7928,2268
MAURILANDIA DO TOCANTINS,TO,Norte,57.4118,76.5332,3178
MIRACEMA DO TOCANTINS,TO,Norte,34.6801,57.6961,20396
MIRANORTE,TO,Norte,42.7441,48.6193,12687
MONTE DO CARMO,TO,Norte,43.2361,59.1160,6833
MONTE SANTO DO TOCANTINS,TO,Norte,56.7055,52.4406,2102
PALMEIRAS DO TOCANTINS,TO,Norte,47.2037,54.2907,5826
MURICILANDIA,TO,Norte,52.3429,67.3684,3189
NATIVIDADE,TO,Norte,45.7965,43.9041,9011
NAZARE,TO,Norte,53.5568,60.2894,4328
NOVA OLINDA,TO,Norte,51.7714,54.7026,10786
NOVA ROSALANDIA,TO,Norte,34.0650,43.3333,3815
NOVO ACORDO,TO,Norte,51.7925,62.3656,3817
NOVO ALEGRE,TO,Norte,32.6560,60.0649,2287
NOVO JARDIM,TO,Norte,53.5168,56.8735,2481
OLIVEIRA DE FATIMA,TO,Norte,31.6614,47.4590,1044
PALMEIRANTE,TO,Norte,57.6696,63.5789,5058
PALMEIROPOLIS,TO,Norte,34.8010,49.2726,7360
PARAISO DO TOCANTINS,TO,Norte,15.8688,36.2005,45054
PARANA,TO,Norte,61.1343,78.4926,10333
PAU D ARCO,TO,Norte,29.7401,54.9740,4608
PEDRO AFONSO,TO,Norte,27.4788,54.3274,11732
PEIXE,TO,Norte,37.3366,61.0367,10509
PEQUIZEIRO,TO,Norte,56.0106,64.5639,5090
COLMEIA,TO,Norte,38.8193,49.6023,8555
PINDORAMA DO TOCANTINS,TO,Norte,54.2484,57.3475,4493
PIRAQUE,TO,Norte,46.4658,54.1144,2927
PIUM,TO,Norte,24.9243,40.4666,6783
PONTE ALTA DO BOM JESUS,TO,Norte,46.6616,61.3311,4542
PONTE ALTA DO TOCANTINS,TO,Norte,46.4004,46.5546,7258
PORTO ALEGRE DO TOCANTINS,TO,Norte,53.7313,56.6076,2827
PORTO NACIONAL,TO,Norte,31.9610,51.4144,49465
PRAIA NORTE,TO,Norte,48.0654,65.9603,7727
PRESIDENTE KENNEDY,TO,Norte,47.7695,58.6786,3676
PUGMIL,TO,Norte,44.7844,57.2650,2399
RECURSOLANDIA,TO,Norte,64.5626,67.7111,3817
RIACHINHO,TO,Norte,71.7391,65.6175,4231
RIO DA CONCEICAO,TO,Norte,56.7329,59.5506,1755
RIO DOS BOIS,TO,Norte,42.8208,58.6972,2594
RIO SONO,TO,Norte,48.6310,62.4696,6267
SAMPAIO,TO,Norte,62.2869,65.4180,3946
SANDOLANDIA,TO,Norte,32.2351,55.4315,3326
SANTA FE DO ARAGUAIA,TO,Norte,43.9078,43.1765,6683
SANTA MARIA DO TOCANTINS,TO,Norte,43.0147,55.3167,2946
SANTA RITA DO TOCANTINS,TO,Norte,39.7898,53.0196,2150
SANTA ROSA DO TOCANTINS,TO,Norte,54.0702,60.7903,4588
SANTA TEREZA DO TOCANTINS,TO,Norte,42.0575,53.0269,2555
SANTA TEREZINHA DO TOCANTINS,TO,Norte,54.0264,65.5629,2476
SAO BENTO DO TOCANTINS,TO,Norte,63.6364,66.3214,4675
SAO FELIX DO TOCANTINS,TO,Norte,61.4493,66.9181,1450
SAO MIGUEL DO TOCANTINS,TO,Norte,56.0117,67.7187,10635
SAO SALVADOR DO TOCANTINS,TO,Norte,41.0412,74.2213,2924
SAO SEBASTIAO DO TOCANTINS,TO,Norte,68.9527,72.4658,4331
SAO VALERIO DA NATIVIDADE,TO,Norte,54.7955,63.9450,4332
SILVANOPOLIS,TO,Norte,47.3718,53.2148,5095
SITIO NOVO DO TOCANTINS,TO,Norte,66.3079,68.9231,9122
SUCUPIRA,TO,Norte,37.0236,47.9675,1763
TAGUATINGA,TO,Norte,40.9447,62.8848,15196
TAIPAS DO TOCANTINS,TO,Norte,54.2533,64.6503,1963
TALISMA,TO,Norte,34.0000,59.1377,2582
PALMAS,TO,Norte,15.9962,33.7778,235316
TOCANTINIA,TO,Norte,68.1517,62.2730,6809
TOCANTINOPOLIS,TO,Norte,45.0863,65.2700,22607
TUPIRAMA,TO,Norte,26.1506,60.1968,1605
TUPIRATINS,TO,Norte,40.5573,70.5117,2154
WANDERLANDIA,TO,Norte,45.1425,63.7151,11036
XAMBIOA,TO,Norte,49.4664,60.7294,11471
ACAILANDIA,MA,Nordeste,46.9510,56.4787,105255
AFONSO CUNHA,MA,Nordeste,86.7997,90.5346,6000
AGUA DOCE DO MARANHAO,MA,Nordeste,82.5147,83.0277,11726
ALCANTARA,MA,Nordeste,85.6108,83.1201,21564
ALDEIAS ALTAS,MA,Nordeste,73.4532,77.3608,24346
ALTAMIRA DO MARANHAO,MA,Nordeste,52.7135,77.2057,11225
